,best_match_score,vendedor,anuncio_id_olx,autos_has_gnv_kit,bairro,cidade,dealership_review,extra_key,gnv_kit,link_anuncio_olx,KM,owner_manual,Preco,Ano_Fabricacao,regiao,uf,Marca,Modelo,warranty,nome_marca,id_marca,nome_modelo,id_modelo
71,1.2328042809152644,FABIANO SCHULZ,1105940606,,Universitário,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/onix-2018-1-4-1105940606,46500,Sim,61000.0,2018,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET ONIX HATCH EFFECT 1.4 8V F.POWER 5P MEC.,Não,GM - Chevrolet,23,ONIX HATCH EFFECT 1.4 8V F.Power 5p Mec.,7120
72,0.9520552975900762,Mags,1105949303,,Pioneiros,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/audi-a4-tfsi-2-0-turbo-file-1105949303,176000,Sim,65900.0,2011,"Mato Grosso do Sul, MS",MS,AUDI,AUDI A4 2.0 16V TFSI 183/180CV MULTITRONIC,Sim,Audi,6,A4 2.0 16V TFSI 183/180cv Multitronic,4843
73,1.0234156702910475,mrbersa,1105949744,,Jardim Paranapunga,Três Lagoas,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/jetta-highiline-2-0-t-tsi-2014-2011-cv-1105949744,120850,Sim,77000.0,2014,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN JETTA HIGHLINE 2.0 TSI 16V 4P TIPTRONIC,Não,VW - VolksWagen,59,JETTA Highline 2.0 TSI 16V 4p Tiptronic,5514
74,0.6739796211537253,Dheny Silva,1105992456,,,Maracaju,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/veiculo-corolla-1105992456,190000,Não,42000.0,2009,"Mato Grosso do Sul, MS",MS,TOYOTA,TOYOTA COROLLA XEI 1.8/1.8 FLEX 16V AUT.,Não,Toyota,56,Corolla XEi 1.8/1.8 Flex 16V Aut.,2229
75,1.0638861233191514,Alexandre,1106721673,,Centro,Dourados,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/amarok-extreme-v6-repasse-1106721673,74000,Sim,183500.0,2019,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN AMAROK EXTREME CD 3.0 4X4 TB DIES. AUT.,Não,VW - VolksWagen,59,AMAROK Extreme CD 3.0 4x4 TB Dies. Aut.,8532
76,1.0186419162026217,victor lima,1108523144,,Bairro Seminário,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-gol-g6-1108523144,75000,Sim,34500.0,2013,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,Não,VW - VolksWagen,59,Gol (novo) 1.0 Mi Total Flex 8V 4p,4689
77,0.7343390909230297,Clodoaldo,1108523524,,Vila Bandeirante,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegat-2016-manual-1108523524,100000,Sim,73000.0,2016,"Mato Grosso do Sul, MS",MS,JEEP,JEEP RENEGADE SPORT 1.8 4X2 FLEX 16V MEC.,Não,Jeep,29,Renegade Sport 1.8 4x2 Flex 16V Mec.,7189
78,1.3782144734523931,Christopher I.,1108523915,,Vila Cidade Morena,Campo Grande,,,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-stilo-2003-completo-1108523915,1,Sim,14500.0,2003,"Mato Grosso do Sul, MS",MS,FIAT,FIAT STILO 1.8 MS LIM.EDIT./ MS SEASON 16V,,Fiat,21,Stilo 1.8 MS Lim.Edit./ MS Season 16V,597
79,0.9219480707434582,Localiza Seminovos Campo Grande (VCCGR),1108531953,,Chácara Cachoeira,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/c-180-2020-2020-1-6-cgi-flex-avantgarde-9g-tronic-1108531953,37864,,212600.0,2020,"Mato Grosso do Sul, MS",MS,MERCEDES-BENZ,MERCEDES-BENZ C-180 CGI AVANT. 1.6/1.6 FLEXTB 16V AUT.,,Mercedes-Benz,39,C-180 CGI Avant. 1.6/1.6 FlexTB 16V Aut.,6928
80,0.7125431913727416,Expedito marcos ,1108532592,,Jardim Sumatra,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-xara-picasso-ano-2004-1108532592,0,Sim,6000.0,2004,"Mato Grosso do Sul, MS",MS,CITROEN,CITROEN XSARA BREAK EXCLUSIVE 2.0 16V,Não,Citroën,13,Xsara Break Exclusive 2.0 16V,326
81,0.6716297823316847,ELETRICA,1108533414,,Parque do Sol,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-1108533414,0,Não,,1999,"Mato Grosso do Sul, MS",MS,FIAT,FIAT MAREA ELX 2.0 20V 4P,Não,Fiat,21,Marea ELX 2.0 20V 4p,484
83,0.9412856136990698,victormpds1977,1108533922,,Santo Antônio,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-xl-cd-flex-ano-2014-2015-1108533922,165000,Sim,85000.0,2014,"Mato Grosso do Sul, MS",MS,FORD,FORD RANGER XLS 2.5 16V 4X2 CD FLEX,Não,Ford,22,Ranger XLS 2.5 16V 4x2 CD Flex,6165
84,0.89831712913997,Gabrielle,1108538083,,Vila Alba,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/carro-citr-en-xsara-picasso-exs-1108538083,187000,Não,10000.0,2005,"Mato Grosso do Sul, MS",MS,CITROEN,CITROEN XSARA PICASSO EXCLUS. 1.6/ 1.6 FLEX 16V,Não,Citroën,13,Xsara Picasso Exclus. 1.6/ 1.6 Flex 16V,3930
85,0.80096579340648,Diego,1108557783,,Panamá,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toro-20-21-26-mil-km-1-8-1108557783,26391,Não,94500.0,2021,"Mato Grosso do Sul, MS",MS,FIAT,FIAT TORO ENDURANCE 1.8 16V FLEX MEC.,Não,Fiat,21,Toro Endurance 1.8 16V Flex Mec.,8741
86,0.7045267896148162,Fernando O.,1108558604,,Centro,Dourados,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/creta-1-6-pulse-1108558604,52000,Sim,89990.0,2017,"Mato Grosso do Sul, MS",MS,HYUNDAI,HYUNDAI CRETA PULSE 1.6 16V FLEX AUT.,Não,Hyundai,26,Creta Pulse 1.6 16V Flex Aut.,7831
88,1.1053312886566427,Allan Souza,1108561892,,Coophavila II,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/celta-1108561892,130000,Não,31500.0,2013,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET CELTA LIFE/ LS 1.0 MPFI 8V FLEXPOWER 5P,Não,GM - Chevrolet,23,Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,996
89,0.9324751648712586,Henrique,1108565229,,Jardim Campo Nobre,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-corsa-99-r-8-500-1108565229,0,Não,8500.0,1999,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET CORSA HATCHBACK 1.0 MPFI 8V 71CV 5P,Não,GM - Chevrolet,23,Corsa Hatchback 1.0 MPFI 8V 71cv 5p,1023
90,0.9412747320895843,Giselle,1108566271,,Centro,Ponta Porã,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-prisma-2015-1-4-ltz-1108566271,146000,Sim,52000.0,2015,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P,Não,GM - Chevrolet,23,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,6351
92,1.1249424218560908,paulinosilveiraborges,1108573672,,Centro,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/celta-lt-4p-15-15-flex-completo-1108573672,117300,Não,34900.0,2015,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,Não,GM - Chevrolet,23,Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,1002
93,1.117423193302622,Joao T.,1108574462,,Vila Almeida,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-stilo-2003-1108574462,111154,Não,19000.0,2003,"Mato Grosso do Sul, MS",MS,FIAT,FIAT STILO 2.4 ABARTH 20V 167CV 5P,Não,Fiat,21,Stilo 2.4 Abarth 20V 167cv 5p,599
94,0.9704985605528603,suellenemersonsamuca,1108576685,,Vila Santa Luzia,Campo Grande,Sim,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/voyage-2019-2020-1108576685,70000,Não,53000.0,2019,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN VOYAGE TRENDLINE 1.6 T.FLEX 8V 4P,Não,VW - VolksWagen,59,VOYAGE Trendline 1.6 T.Flex 8V 4p,6809
95,0.9677665304515983,Vando Veiculos,1108582672,,Vila Bandeirante,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/honda-hrv-lx-atomatica-1108582672,98200,Não,86900.0,2016,"Mato Grosso do Sul, MS",MS,HONDA,HONDA HR-V LX 1.8 FLEXONE 16V 5P AUT.,Não,Honda,25,HR-V LX 1.8 Flexone 16V 5p Aut.,7152
96,-0.217236803158079,Antonio Oliveira,1108583673,,Jardim Rasslem,Dourados,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/jeep-willys-1962-1108583673,100,Não,26000.0,1960,"Mato Grosso do Sul, MS",MS,FORD,FORD RURAL 4X4,Não,BMW,7,X5 4.4 4x4,243
146,0.9297880767609897,Abigail Silva,1108589862,,Centro,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/corsa-hatch-2005-1-4-completo-carro-impecavel-1108589862,147200,Não,8400.0,2005,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET CORSA HATCHBACK 1.8 MPFI 8V 102CV 5P,Não,GM - Chevrolet,23,Corsa Hatchback 1.8 MPFI 8V 102cv 5p,1024
147,0.9601221969891739,GABRIEL LOCAÇÕES,1108597169,,Jardim Tijuca,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/strada-fiat-working-2000-2001-1108597169,230000,Não,12500.0,2001,"Mato Grosso do Sul, MS",MS,FIAT,FIAT STRADA WORKING 1.5 MPI 8V CE,Não,Fiat,21,Strada/ Strada Working 1.5 mpi 8V CE,616
148,0.875078709136091,Sidnei,1108601271,,Vila Moreninha II,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/saveiro-1108601271,292000,Não,35500.0,2011,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN SAVEIRO 1.6 MI TOTAL FLEX 8V CE,Não,VW - VolksWagen,59,Saveiro 1.6 Mi Total Flex 8V CE,5009
151,0.7760454501358106,Breno Lourenço,1108605443,,Jardim Aero Rancho,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/new-fiesta-sedan-2012-1108605443,210000,Sim,37000.0,2012,"Mato Grosso do Sul, MS",MS,FORD,FORD FIESTA SEDAN SE 1.6 16V FLEX 4P,Não,Ford,22,Fiesta Sedan SE 1.6 16V Flex 4p,5345
152,0.744552988232065,Nelson Batistote,1108606169,,Bairro Seminário,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-1108606169,152000,Sim,,2009,"Mato Grosso do Sul, MS",MS,MITSUBISHI,MITSUBISHI L200 GLS 2.5 4X4 CD DIESEL,Não,Mitsubishi,41,L200 GLS 2.5 4X4 CD Diesel,1719
154,0.6901408196176665,zaap67,1108615265,,Vila Carvalho,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-completo-novissimo-24-900-1108615265,65800,Sim,24900.0,2012,"Mato Grosso do Sul, MS",MS,RENAULT,RENAULT SANDERO EXPRESSION FLEX 1.0 12V 5P,Sim,Renault,48,SANDERO Expression Flex 1.0 12V 5p,7811
155,0.8247908444232562,joao,1108616566,,Coophasul,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/palio-2016-1108616566,90000,Sim,30900.0,2016,"Mato Grosso do Sul, MS",MS,FIAT,FIAT PALIO 1.0/ TROFEO 1.0 FIRE/ FIRE FLEX 2P,Não,Fiat,21,Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 2p,505
156,0.8144944213697464,Vando Veiculos,1108618677,,Vila Bandeirante,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/gol-1-6-trendline-msi-1108618677,65000,Sim,49900.0,2018,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL TRENDLINE 1.6 T.FLEX 8V 5P,Não,VW - VolksWagen,59,Gol Trendline 1.6 T.Flex 8V 5p,6796
158,0.9324751648712586,Luciano C.,1108621453,,Vila Alba,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/corsa-oportunidade-1108621453,156000,Não,15000.0,2004,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET CORSA HATCHBACK 1.0 MPFI 8V 71CV 5P,Sim,GM - Chevrolet,23,Corsa Hatchback 1.0 MPFI 8V 71cv 5p,1023
159,0.9181276526910502,Camila T.,1108621790,,Arnaldino da Silva,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/siena-1108621790,142000,Sim,25000.0,2011,"Mato Grosso do Sul, MS",MS,FIAT,FIAT SIENA 1.0/ EX 1.0 MPI FIRE/ FIRE FLEX 8V,Não,Fiat,21,Siena 1.0/ EX 1.0 mpi Fire/ Fire Flex 8v,577
160,0.03004572351479787,Artur Salas Abreu,1108626442,,Jardim Jacy,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-0-2017-18-1108626442,57000,Não,47500.0,2017,"Mato Grosso do Sul, MS",MS,FORD,FORD KA 1.0 SE 12V FLEX 4P MANUAL,Não,Ford,22,Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p,6919
212,1.1349370709489501,Oliveira.,1108627663,,Parque dos Ipês I,Ponta Porã,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-carro-1108627663,81900,Não,23500.0,2013,"Mato Grosso do Sul, MS",MS,FIAT,FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P,Não,Fiat,21,Uno Mille 1.0 Fire/ F.Flex/ ECONOMY 4p,645
213,0.884982076029296,Bruninho,1108627667,,Jardim Aero Rancho,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/uno-99-trava-alarme-1108627667,253558,Não,5000.0,1999,"Mato Grosso do Sul, MS",MS,FIAT,FIAT UNO MILLE EP 2P E 4P,Não,Fiat,21,Uno Mille EP 2p e 4p,648
214,0.8380790226165704,Juliana Pedreira,1108633990,,Nova Lima,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-1108633990,171000,Não,13500.0,2004,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET CORSA SEDAN 1.0 MPFI 8V 71CV 4P,Não,GM - Chevrolet,23,Corsa Sedan 1.0 MPFI 8V 71cv 4p,1044
215,0.8242460012235235,Junior,1108636908,,Universitário,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/sandero-expression-hi-flex-1-0-16v-2011-1108636908,95000,Sim,24500.0,2010,"Mato Grosso do Sul, MS",MS,RENAULT,RENAULT SANDERO EXPRESSION HI-FLEX 1.0 16V 5P,Não,Renault,48,SANDERO Expression Hi-Flex 1.0 16V 5p,4506
216,1.0391153927795151,Edinara M.,1108637699,,Parque Residencial Rita Vieira,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/l200-triton-sport-hpe-2-4-disel-1108637699,118000,Sim,179500.0,2019,"Mato Grosso do Sul, MS",MS,MITSUBISHI,MITSUBISHI L200 TRITON SPORT HPE 2.4 CD DIESEL AUT.,Não,Mitsubishi,41,L200 Triton Sport HPE 2.4 CD Diesel Aut.,7742
217,0.8750589543373312,PSPCP,1108641545,,Parque Alvorada,Dourados,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/corsa-em-otimo-estado-documentacao-ok-1108641545,480000,Não,8300.0,1997,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET CORSA WAGON GL 1.6 MPFI 4P,Não,GM - Chevrolet,23,Corsa Wagon GL 1.6 MPFI 4p,1058
218,0.5550554322211592,julianoavalos,1108641981,,Jardim Leblon,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/sorento-3-5-v6-ex2-4wd-automatica-7-lugares-1108641981,130,Sim,88000.0,2014,"Mato Grosso do Sul, MS",MS,KIA MOTORS,KIA MOTORS SORENTO 3.5 V6 24V 278CV 4X4 AUT.,Não,Kia Motors,31,Sorento EX 3.5 V6 24V 197cv 4x4 Aut.,1421
220,0.7312290233581856,Maico,1108644409,,Amambaí,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/audi-a3-1108644409,200000,Não,15000.0,2000,"Mato Grosso do Sul, MS",MS,AUDI,AUDI A3 1.8 TURBO 180CV 3P MEC.,Não,Audi,6,A3 1.8 Turbo 180cv 3p Mec.,61
221,1.0046395413234448,Refrigeracao Assistencia,1108644456,,Centro,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/troco-por-preto-ou-prata-c4-lounge-preferencia-tendance-e-nao-thp-1108644456,89000,Não,55000.0,2014,"Mato Grosso do Sul, MS",MS,CITROEN,CITROEN C4 LOUNGE TENDANCE 2.0 FLEX 4P AUT.,Não,Citroën,13,C4 LOUNGE Tendance 2.0 Flex 4p Aut.,6578
222,0.9303516118507312,genilson,1108648279,,Centro,Dourados,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/focus-hatch-1-6-dourados-ms-1108648279,150000,Sim,36000.0,2011,"Mato Grosso do Sul, MS",MS,FORD,FORD FOCUS 1.6 S/SE/SE PLUS FLEX 8V/16V  5P,Não,Ford,22,Focus 1.6 S/SE/SE Plus Flex 8V/16V  5p,796
223,1.3365429443670067,kassyo zootecnista,1108651580,,Vila Manoel Taveira,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/uno-way-economico-e-seguro-para-a-familia-1108651580,119000,Sim,39900.0,2015,"Mato Grosso do Sul, MS",MS,FIAT,FIAT UNO MILLE CELEB. WAY ECON. 1.0 F.FLEX 4P,Não,Fiat,21,Uno Mille Celeb. WAY ECON. 1.0 F.Flex 4p,4764
224,1.002404168817035,maykonsoaresduarte,1108656751,,,Sidrolândia,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/uno-98-basico-1108656751,206200,Sim,11500.0,1998,"Mato Grosso do Sul, MS",MS,FIAT,FIAT UNO MILLE/ MILLE EX/ SMART 4P,Não,Fiat,21,Uno Mille/ Mille EX/ Smart 4p,652
225,0.7336704367214311,Larissa Lima,1108663674,,Vila Nova Capital,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-fox-connect-2017-2018-1108663674,0,Sim,56500.0,2018,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN FOX CONNECT 1.6 FLEX 8V 5P,Não,VW - VolksWagen,59,Fox Connect 1.6 Flex 8V 5p,8112
227,1.1221005114808087,Carol F.,1108664195,,Coronel Antonino,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-classic-ls-1-0-vhce-flex-2010-2011-1108664195,100000,Não,23000.0,2011,"Mato Grosso do Sul, MS",MS,GM - CHEVROLET,GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,Não,GM - Chevrolet,23,Classic Life/LS 1.0 VHC FlexP. 4p,4924
228,1.419925909392674,Fernando Camargo,1108671275,,Residencial Oliveira,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hilux-2007-srv-4x4-automatica-1108671275,248000,Não,110000.0,2007,"Mato Grosso do Sul, MS",MS,TOYOTA,TOYOTA HILUX CD SRV D4-D 4X4 3.0 TDI DIESEL AUT,Não,Toyota,56,Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut,2259
229,0.703257399774817,Mario Douglas,1108672491,,Panorama,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/audi-a3-1-8-t-1108672491,250000,Sim,43000.0,2005,"Mato Grosso do Sul, MS",MS,AUDI,AUDI A3 1.8 TURBO 180CV 5P MEC.,Não,Audi,6,A3 1.8 Turbo 180cv 5p Mec.,63
230,0.7798662064311416,Paulo Renato Corrêa ,1108675313,,Itanhangá Park,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-freedom-cabine-dupla-1-4l-manual-1108675313,64890,Sim,82900.0,2020,"Mato Grosso do Sul, MS",MS,FIAT,FIAT STRADA FREEDOM 1.4 FLEX 8V CD,Não,Fiat,21,Strada Freedom 1.4 Flex 8V CD,8399
231,1.0372843375091265,Flavio Augusto,950363332,,Vila Bandeirante,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/strada-ce-adv-super-conservada-ano-2018-950363332,73085,,67800.0,2017,"Mato Grosso do Sul, MS",MS,FIAT,FIAT STRADA ADVENTURE 1.8 MPI 8V 103CV CE,,Fiat,21,Strada Adventure 1.8 mpi 8V 103cv CE,605
